学校	所在学院	URL
中山大学南方学院	文学与传媒学院	http://wcy.nfu.edu.cn/a/xueyuangaikuang/zhuanyeshezhi/wangluoyuxinmeitix/
学校	专业	URL
贵州民族学院	新闻传播类网络和新媒体专业	http://www.gznc.edu.cn/	
